Code,Close,Volume,VolumeTotal,Amount,AmountTotal,Market,ChangesRatio
000720,95600.0,477597.0,714465.0,45658273200.0,68302854000.0,KOSPI,1.06
307950,382500.0,127110.0,229210.0,48619575000.0,87672825000.0,KOSPI,4.94
323410,21850.0,716642.0,908827.0,15658627700.0,19857869950.0,KOSPI,-1.13
005830,156600.0,155069.0,169791.0,24283805400.0,26589270600.0,KOSPI,-0.25
005940,27600.0,376285.0,505245.0,10385466000.0,13944762000.0,KOSPI,-3.16
379800,24265.0,18672665.0,18672665.0,453092216225.0,453092216225.0,KOSPI,0.98
003490,26200.0,3146636.0,3146636.0,82441863200.0,82441863200.0,KOSPI,1.16
102110,99360.0,4092868.0,4092868.0,406667364480.0,406667364480.0,KOSPI,-9.28
0126Z0,369500.0,24368.0,36643.0,9003976000.0,13539588500.0,KOSPI,-1.47
047050,51300.0,376050.0,512584.0,19291365000.0,26295559200.0,KOSPI,-1.72
028050,44400.0,1886368.0,1886368.0,83754739200.0,83754739200.0,KOSPI,1.37
003230,1151000.0,43339.0,64199.0,49883189000.0,73893049000.0,KOSPI,-1.46
016360,97000.0,336831.0,458790.0,32672607000.0,44502630000.0,KOSPI,-2.81
379810,26965.0,4504585.0,4504585.0,121466134525.0,121466134525.0,KOSPI,0.33
006260,273000.0,119332.0,169263.0,32577636000.0,46208799000.0,KOSPI,2.25
396500,31760.0,13774259.0,13774259.0,437470465840.0,437470465840.0,KOSPI,-7.59
161390,66800.0,221274.0,245605.0,14781103200.0,16406414000.0,KOSPI,-1.18
488770,105115.0,684031.0,684031.0,71901918565.0,71901918565.0,KOSPI,0.01
443060,182900.0,63366.0,77334.0,11589641400.0,14144388600.0,KOSPI,-0.6
180640,119000.0,133211.0,201081.0,15852109000.0,23928639000.0,KOSPI,6.54
078930,84600.0,383507.0,421784.0,32444692200.0,35682926400.0,KOSPI,-4.94
090430,129800.0,318643.0,455277.0,41359861400.0,59094954600.0,KOSPI,-0.15
352820,174300.0,319896.0,501592.0,55757872800.0,87427485600.0,KOSPI,3.26
039490,274000.0,166588.0,226128.0,45645112000.0,61959072000.0,KOSPI,-6.64
278530,35930.0,2067112.0,2067112.0,74271334160.0,74271334160.0,KOSPI,-7.42
005387,198100.0,102571.0,102571.0,20319315100.0,20319315100.0,KOSPI,-1.44
459580,1073785.0,367278.0,367278.0,394377607230.0,394377607230.0,KOSPI,0.01
021240,92200.0,174811.0,192159.0,16117574200.0,17717059800.0,KOSPI,0.77
032640,14840.0,725723.0,940457.0,10769729320.0,13956381880.0,KOSPI,0.41
326030,78400.0,111869.0,165142.0,8770529600.0,12947132800.0,KOSPI,-0.76
267270,126500.0,188651.0,280641.0,23864351500.0,35501086500.0,KOSPI,1.28
064400,62500.0,873949.0,873949.0,54621812500.0,54621812500.0,KOSPI,0.0
000100,73600.0,225373.0,330360.0,16587452800.0,24314496000.0,KOSPI,0.14
377300,42950.0,142720.0,211136.0,6129824000.0,9068291200.0,KOSPI,0.82
241560,60400.0,137817.0,167169.0,8324146800.0,10097007600.0,KOSPI,1.0
381180,42685.0,1406540.0,1406540.0,60038159900.0,60038159900.0,KOSPI,-2.21
007660,74500.0,605831.0,980349.0,45134409500.0,73036000500.0,KOSPI,0.0
047040,13300.0,5963895.0,5963895.0,79319803500.0,79319803500.0,KOSPI,4.07
029780,46950.0,82735.0,111388.0,3884408250.0,5229666600.0,KOSPI,-0.11
122630,93670.0,21001807.0,21001807.0,1967239261690.0,1967239261690.0,KOSPI,-15.57
271560,133500.0,107210.0,118776.0,14312535000.0,15856596000.0,KOSPI,1.29
498400,19105.0,8672428.0,8672428.0,165686736940.0,165686736940.0,KOSPI,-5.89
175330,27100.0,274782.0,341878.0,7446592200.0,9264893800.0,KOSPI,2.46
036570,232000.0,54463.0,69536.0,12635416000.0,16132352000.0,KOSPI,-1.07
0167A0,15610.0,19576150.0,19576150.0,305583701500.0,305583701500.0,KOSPI,-5.37
091160,111905.0,2049950.0,2049950.0,229399654750.0,229399654750.0,KOSPI,-7.39
353200,96700.0,1355639.0,1355639.0,131090291300.0,131090291300.0,KOSPI,-0.1
088980,9970.0,1263126.0,1263126.0,12593366220.0,12593366220.0,KOSPI,-1.38
001440,23950.0,1968289.0,1968289.0,47140521550.0,47140521550.0,KOSPI,3.23
138930,15090.0,1497895.0,1687508.0,22603235550.0,25464495720.0,KOSPI,-0.53
005385,197000.0,60761.0,60761.0,11969917000.0,11969917000.0,KOSPI,-1.3
034220,9160.0,3127732.0,3127732.0,28650025120.0,28650025120.0,KOSPI,-0.54
062040,145600.0,143168.0,264294.0,20845260800.0,38481206400.0,KOSPI,1.68
128940,345500.0,101994.0,125815.0,35238927000.0,43469082500.0,KOSPI,3.6
229200,12470.0,41879239.0,41879239.0,522234110330.0,522234110330.0,KOSPI,3.06
009830,24800.0,2030250.0,2030250.0,50350200000.0,50350200000.0,KOSPI,-2.75
051900,283500.0,98338.0,146019.0,27878823000.0,41396386500.0,KOSPI,-1.22
454910,64400.0,870792.0,870792.0,56079004800.0,56079004800.0,KOSPI,4.55
148020,99975.0,846608.0,846608.0,84639634800.0,84639634800.0,KOSPI,-8.95
458730,15170.0,2178610.0,2178610.0,33049513700.0,33049513700.0,KOSPI,0.03
000500,135600.0,163604.0,356629.0,22184702400.0,48358892400.0,KOSPI,1.04
310970,44415.0,28777.0,28777.0,1278130455.0,1278130455.0,KOSPI,-6.1
0162Z0,12755.0,9252415.0,9252415.0,118014553325.0,118014553325.0,KOSPI,-5.94
360200,26980.0,564105.0,564105.0,15219552900.0,15219552900.0,KOSPI,1.01
111770,87900.0,54681.0,60710.0,4806459900.0,5336409000.0,KOSPI,-1.68
004170,405500.0,68320.0,80733.0,27703760000.0,32737231500.0,KOSPI,-4.14
001040,131100.0,76787.0,87297.0,10066775700.0,11444636700.0,KOSPI,1.31
411060,25775.0,552796.0,552796.0,14248316900.0,14248316900.0,KOSPI,-1.17
381170,31155.0,452534.0,452534.0,14098696770.0,14098696770.0,KOSPI,2.1
088350,4235.0,2842020.0,2842020.0,12035954700.0,12035954700.0,KOSPI,-4.19
010060,196900.0,236881.0,431081.0,46641868900.0,84879848900.0,KOSPI,3.47
423160,110675.0,86040.0,86040.0,9522477000.0,9522477000.0,KOSPI,0.01
011790,72800.0,189055.0,320937.0,13763204000.0,23364213600.0,KOSPI,0.83
395160,35635.0,6160618.0,6160618.0,219533622430.0,219533622430.0,KOSPI,-6.12
000990,80900.0,289455.0,432202.0,23416909500.0,34965141800.0,KOSPI,-2.65
357870,57850.0,226229.0,226229.0,13087347650.0,13087347650.0,KOSPI,0.01
052690,90700.0,133298.0,175491.0,12090128600.0,15917033700.0,KOSPI,1.91
273130,109885.0,44021.0,44021.0,4837247585.0,4837247585.0,KOSPI,-0.22
367380,30985.0,598531.0,598531.0,18545483035.0,18545483035.0,KOSPI,0.32
018880,3250.0,5685158.0,5685158.0,18476763500.0,18476763500.0,KOSPI,-1.66
004020,24800.0,732726.0,1080926.0,18171604800.0,26806964800.0,KOSPI,-5.88
023530,116300.0,98157.0,112785.0,11415659100.0,13116895500.0,KOSPI,-0.85
395270,50360.0,1371933.0,1371933.0,69090545880.0,69090545880.0,KOSPI,-5.87
002380,370500.0,21433.0,29461.0,7940926500.0,10915300500.0,KOSPI,-4.51
001450,37300.0,364798.0,475836.0,13606965400.0,17748682800.0,KOSPI,-2.99
082740,38000.0,1420403.0,2134480.0,53975314000.0,81110240000.0,KOSPI,-2.69
036460,34300.0,142922.0,178569.0,4902224600.0,6124916700.0,KOSPI,-0.44
251270,38300.0,147239.0,167312.0,5639253700.0,6408049600.0,KOSPI,0.0
035250,14540.0,300522.0,382941.0,4369589880.0,5567962140.0,KOSPI,-1.09
0043B0,103215.0,114122.0,114122.0,11779102230.0,11779102230.0,KOSPI,0.01
0193T0,9270.0,44389598.0,44389598.0,411491573460.0,411491573460.0,KOSPI,-16.15
233740,5600.0,117038101.0,117038101.0,655413365600.0,655413365600.0,KOSPI,7.28
102780,23260.0,573660.0,573660.0,13343331600.0,13343331600.0,KOSPI,-4.93
066970,72700.0,216501.0,336215.0,15739622700.0,24442830500.0,KOSPI,-0.82
031210,42250.0,21555.0,30725.0,910698750.0,1298131250.0,KOSPI,-1.63
455890,55330.0,210472.0,210472.0,11645415760.0,11645415760.0,KOSPI,0.01
022100,19230.0,297062.0,505165.0,5712502260.0,9714322950.0,KOSPI,-0.16
097950,191300.0,54416.0,65402.0,10409780800.0,12511402600.0,KOSPI,-0.05
011780,113000.0,69498.0,79493.0,7853274000.0,8982709000.0,KOSPI,-1.22
483650,223500.0,112172.0,205893.0,25070442000.0,46017085500.0,KOSPI,1.13
012750,71900.0,83266.0,90906.0,5986825400.0,6536141400.0,KOSPI,0.98
139130,16960.0,567994.0,610769.0,9633178240.0,10358642240.0,KOSPI,0.06
302440,34200.0,76668.0,110278.0,2622045600.0,3771507600.0,KOSPI,1.03
487240,31075.0,2729404.0,2729404.0,84816229300.0,84816229300.0,KOSPI,1.16
481050,1021795.0,16595.0,16595.0,16956688025.0,16956688025.0,KOSPI,0.01
017800,67700.0,78904.0,119452.0,5341800800.0,8086900400.0,KOSPI,-0.29
028670,4935.0,6835803.0,6835803.0,33734687805.0,33734687805.0,KOSPI,-9.78
026960,25400.0,62468.0,80921.0,1586687200.0,2055393400.0,KOSPI,-0.39
103590,53100.0,330461.0,534645.0,17547479100.0,28389649500.0,KOSPI,2.12
005850,54100.0,76210.0,106194.0,4122961000.0,5745095400.0,KOSPI,2.27
069960,116000.0,158436.0,187071.0,18378576000.0,21700236000.0,KOSPI,-2.36
008930,36050.0,178690.0,233496.0,6441774500.0,8417530800.0,KOSPI,0.56
009970,190100.0,9014.0,10898.0,1713561400.0,2071709800.0,KOSPI,-0.99
449170,111495.0,74358.0,74358.0,8290545210.0,8290545210.0,KOSPI,0.01
139260,121180.0,714347.0,714347.0,86564569460.0,86564569460.0,KOSPI,-7.06
009420,45950.0,279176.0,413922.0,12828137200.0,19019715900.0,KOSPI,5.88
003690,13560.0,233070.0,269485.0,3160429200.0,3654216600.0,KOSPI,-1.53
004800,143100.0,23608.0,38811.0,3378304800.0,5553854100.0,KOSPI,-0.97
007340,40900.0,107399.0,143652.0,4392619100.0,5875366800.0,KOSPI,1.36
000240,24950.0,70214.0,78163.0,1751839300.0,1950166850.0,KOSPI,0.0
