Code,Name,Close,Volume,VolumeTotal,Amount,AmountTotal,Market,ChangesRatio
005930,삼성전자,239500.0,23197807.0,39629030.0,5555874776500.0,9491152685000.0,KOSPI,4.13
000660,SK하이닉스,1425000.0,3682655.0,6111465.0,5247783375000.0,8708837625000.0,KOSPI,0.35
005935,삼성전자우,180200.0,2382128.0,2382128.0,429259465600.0,429259465600.0,KOSPI,4.77
402340,SK스퀘어,945000.0,473244.0,692678.0,447215580000.0,654580710000.0,KOSPI,-0.42
009150,삼성전기,1262000.0,724733.0,1365503.0,914613046000.0,1723264786000.0,KOSPI,-0.94
373220,LG에너지솔루션,354500.0,269329.0,343272.0,95477130500.0,121689924000.0,KOSPI,-3.54
005380,현대차,403000.0,327064.0,539751.0,131806792000.0,217519653000.0,KOSPI,-1.23
207940,삼성바이오로직스,1609000.0,61758.0,80989.0,99368622000.0,130311301000.0,KOSPI,2.55
105560,KB금융,166600.0,1039635.0,1191127.0,173203191000.0,198441758200.0,KOSPI,-2.97
032830,삼성생명,289500.0,273808.0,338274.0,79267416000.0,97930323000.0,KOSPI,3.21
012450,한화에어로스페이스,1098000.0,158144.0,211368.0,173642112000.0,232082064000.0,KOSPI,-4.69
028260,삼성물산,344500.0,338850.0,420741.0,116733825000.0,144945274500.0,KOSPI,2.53
329180,HD현대중공업,503000.0,248198.0,344385.0,124843594000.0,173225655000.0,KOSPI,-5.45
000270,기아,134300.0,443051.0,524464.0,59501749300.0,70435515200.0,KOSPI,-0.89
034020,두산에너빌리티,77900.0,1423064.0,2714915.0,110856685600.0,211491878500.0,KOSPI,-2.5
055550,신한지주,104500.0,858508.0,928268.0,89714086000.0,97004006000.0,KOSPI,-1.79
068270,셀트리온,210500.0,886325.0,1714259.0,186571412500.0,360851519500.0,KOSPI,4.73
012330,현대모비스,495500.0,157950.0,227394.0,78264225000.0,112673727000.0,KOSPI,-1.88
034730,SK,524000.0,113792.0,148145.0,59627008000.0,77627980000.0,KOSPI,2.14
006400,삼성SDI,459500.0,354160.0,623698.0,162736520000.0,286589231000.0,KOSPI,-4.57
086790,하나금융지주,127700.0,563305.0,605761.0,71934048500.0,77355679700.0,KOSPI,-2.07
035420,NAVER,214000.0,646782.0,1448670.0,138411348000.0,310015380000.0,KOSPI,1.18
010120,LS ELECTRIC,203000.0,334361.0,690618.0,67875283000.0,140195454000.0,KOSPI,-2.64
066570,LG전자,181700.0,800188.0,1426299.0,145394159600.0,259158528300.0,KOSPI,-4.37
000810,삼성화재,641000.0,84448.0,91255.0,54131168000.0,58494455000.0,KOSPI,1.75
009540,HD한국조선해양,398000.0,129039.0,159563.0,51357522000.0,63506074000.0,KOSPI,-1.49
042660,한화오션,89000.0,1254247.0,2287219.0,111627983000.0,203562491000.0,KOSPI,-5.72
267260,HD현대일렉트릭,739000.0,73171.0,105604.0,54073369000.0,78041356000.0,KOSPI,-3.27
298040,효성중공업,2831000.0,32921.0,51525.0,93199351000.0,145867275000.0,KOSPI,-3.51
005490,POSCO홀딩스,326500.0,222094.0,340516.0,72513691000.0,111178474000.0,KOSPI,-2.83
010130,고려아연,1229000.0,47087.0,96228.0,57869923000.0,118264212000.0,KOSPI,-0.49
316140,우리금융지주,33800.0,2109085.0,2426725.0,71287073000.0,82023305000.0,KOSPI,1.35
069500,KODEX 200,99265.0,12321340.0,12321340.0,1223077815100.0,1223077815100.0,KOSPI,1.02
015760,한국전력,35200.0,1030128.0,1401084.0,36260505600.0,49318156800.0,KOSPI,-1.4
096770,SK이노베이션,124100.0,751302.0,1161393.0,93236578200.0,144128871300.0,KOSPI,-0.32
138040,메리츠금융지주,123800.0,212182.0,245609.0,26268131600.0,30406394200.0,KOSPI,0.24
360750,TIGER 미국S&P500,27215.0,17344249.0,17344249.0,472023736535.0,472023736535.0,KOSPI,-0.22
011200,HMM,21650.0,754250.0,1304668.0,16329512500.0,28246062200.0,KOSPI,0.93
042700,한미반도체,213000.0,416434.0,907766.0,88700442000.0,193354158000.0,KOSPI,3.65
006800,미래에셋증권,35500.0,1165001.0,2121060.0,41357535500.0,75297630000.0,KOSPI,-2.47
051910,LG화학,274000.0,87883.0,116756.0,24079942000.0,31991144000.0,KOSPI,-1.44
010140,삼성중공업,21800.0,2814939.0,4712647.0,61365670200.0,102735704600.0,KOSPI,-3.33
000150,두산,1177000.0,52202.0,73808.0,61441754000.0,86872016000.0,KOSPI,-4.54
033780,KT&G,179900.0,259453.0,294582.0,46675594700.0,52995301800.0,KOSPI,-3.12
017670,SK텔레콤,86000.0,1039392.0,1536959.0,89387712000.0,132178474000.0,KOSPI,1.18
018260,삼성에스디에스,237000.0,412978.0,731978.0,97875786000.0,173478786000.0,KOSPI,6.52
