Code,Close,Volume,Amount,Market,ChangesRatio
021240,91500.0,222957.0,20400565500.0,KOSPI,0.33
032640,14780.0,1299649.0,19208812220.0,KOSPI,-3.78
326030,79000.0,142190.0,11233010000.0,KOSPI,1.8
064400,62500.0,1385632.0,86602000000.0,KOSPI,7.39
122630,110945.0,30653778.0,3400883400210.0,KOSPI,46.76
267270,124900.0,266056.0,33230394400.0,KOSPI,9.37
381180,43650.0,4660174.0,203416595100.0,KOSPI,11.18
000100,73500.0,321744.0,23648184000.0,KOSPI,-0.68
377300,42600.0,186816.0,7958361600.0,KOSPI,6.77
241560,59800.0,156309.0,9347278200.0,KOSPI,3.82
498400,20300.0,10092914.0,204886154200.0,KOSPI,19.83
007660,74500.0,1231888.0,91775656000.0,KOSPI,25.84
029780,47000.0,181555.0,8533085000.0,KOSPI,-0.74
091160,120830.0,2843966.0,343636411780.0,KOSPI,28.99
0167A0,16495.0,23844239.0,393310722305.0,KOSPI,29.98
047040,12780.0,9574457.0,122361560460.0,KOSPI,14.11
271560,131800.0,125498.0,16540636400.0,KOSPI,-2.59
036570,234500.0,80304.0,18831288000.0,KOSPI,2.4
175330,26450.0,390142.0,10319255900.0,KOSPI,-1.67
088980,10110.0,1725891.0,17448758010.0,KOSPI,1.0
353200,96800.0,1434106.0,138821460800.0,KOSPI,29.93
138930,15170.0,1493667.0,22658928390.0,KOSPI,2.5
005385,199600.0,121645.0,24280342000.0,KOSPI,11.7
034220,9210.0,8958541.0,82508162610.0,KOSPI,7.85
001440,23200.0,3949682.0,91632622400.0,KOSPI,11.54
148020,109800.0,2118085.0,232565733000.0,KOSPI,24.29
062040,143200.0,292392.0,41870534400.0,KOSPI,18.54
009830,25500.0,3262401.0,83191225500.0,KOSPI,8.51
051900,287000.0,152275.0,43702925000.0,KOSPI,-1.71
310970,47300.0,98332.0,4651103600.0,KOSPI,21.1
128940,333500.0,102400.0,34150400000.0,KOSPI,7.06
0162Z0,13560.0,18762226.0,254415784560.0,KOSPI,16.2
458730,15165.0,2878221.0,43648221465.0,KOSPI,-1.49
000500,134200.0,436905.0,58632651000.0,KOSPI,24.72
004170,423000.0,141168.0,59714064000.0,KOSPI,6.82
454910,61600.0,901054.0,55504926400.0,KOSPI,11.19
111770,89400.0,92434.0,8263599600.0,KOSPI,0.34
360200,26710.0,1037319.0,27706790490.0,KOSPI,1.21
229200,12100.0,42829458.0,518236441800.0,KOSPI,14.1
088350,4420.0,2296290.0,10149601800.0,KOSPI,5.11
411060,26080.0,456167.0,11896835360.0,KOSPI,1.36
395160,37960.0,9134296.0,346737876160.0,KOSPI,30.0
001040,129400.0,131137.0,16969127800.0,KOSPI,4.19
381170,30515.0,471138.0,14376776070.0,KOSPI,2.64
423160,110665.0,131974.0,14604902710.0,KOSPI,0.02
000990,83100.0,849510.0,70594281000.0,KOSPI,16.71
011790,72200.0,374122.0,27011608400.0,KOSPI,12.46
273130,110130.0,49187.0,5416964310.0,KOSPI,0.48
010060,190300.0,329660.0,62734298000.0,KOSPI,8.49
004020,26350.0,560890.0,14779451500.0,KOSPI,4.77
357870,57845.0,337483.0,19521704135.0,KOSPI,0.02
395270,53500.0,2259795.0,120899032500.0,KOSPI,30.0
052690,89000.0,258312.0,22989768000.0,KOSPI,11.39
367380,30885.0,525742.0,16237541670.0,KOSPI,3.33
018880,3305.0,12396124.0,40969189820.0,KOSPI,1.23
002380,388000.0,27538.0,10684744000.0,KOSPI,9.14
023530,117300.0,138389.0,16233029700.0,KOSPI,4.17
001450,38450.0,540377.0,20777495650.0,KOSPI,-0.77
082740,39050.0,2292966.0,89540322300.0,KOSPI,-0.64
0193T0,11055.0,116937574.0,1292744880570.0,KOSPI,58.04
102780,24465.0,1418146.0,34694941890.0,KOSPI,17.45
036460,34450.0,139815.0,4816626750.0,KOSPI,0.0
035250,14700.0,507126.0,7454752200.0,KOSPI,0.96
251270,38300.0,163875.0,6276412500.0,KOSPI,-0.39
383220,80500.0,102716.0,8268638000.0,KOSPI,2.03
0043B0,103200.0,173419.0,17896840800.0,KOSPI,0.01
031210,42950.0,49983.0,2146769850.0,KOSPI,1.54
066970,73300.0,296711.0,21748916300.0,KOSPI,9.4
022100,19260.0,398355.0,7672317300.0,KOSPI,11.65
028670,5470.0,8308824.0,45449267280.0,KOSPI,10.84
455890,55325.0,259831.0,14375150075.0,KOSPI,0.02
097950,191400.0,53671.0,10272629400.0,KOSPI,1.11
011780,114400.0,92720.0,10607168000.0,KOSPI,1.24
483650,221000.0,278132.0,61467172000.0,KOSPI,-5.35
012750,71200.0,94434.0,6723700800.0,KOSPI,-0.84
139130,16950.0,748031.0,12679125450.0,KOSPI,2.67
481050,1021695.0,16894.0,17260515330.0,KOSPI,0.01
302440,33850.0,89991.0,3046195350.0,KOSPI,2.11
017800,67900.0,173763.0,11798507700.0,KOSPI,2.11
487240,30720.0,4838212.0,148629872640.0,KOSPI,20.71
139260,130390.0,917347.0,119612875330.0,KOSPI,30.0
233740,5220.0,134819390.0,703757215800.0,KOSPI,26.7
069960,118800.0,132674.0,15761671200.0,KOSPI,4.85
026960,25500.0,64145.0,1635697500.0,KOSPI,-2.3
009970,192000.0,23185.0,4451520000.0,KOSPI,-6.11
103590,52000.0,579922.0,30155944000.0,KOSPI,13.91
005850,52900.0,59615.0,3153633500.0,KOSPI,5.59
008930,35850.0,145839.0,5228328150.0,KOSPI,3.17
449170,111485.0,110836.0,12356551460.0,KOSPI,0.01
003690,13770.0,384308.0,5291921160.0,KOSPI,2.0
004800,144500.0,46217.0,6678356500.0,KOSPI,17.0
011170,56500.0,140688.0,7948872000.0,KOSPI,2.91
472150,20190.0,7684938.0,155158898220.0,KOSPI,21.26
426030,45735.0,1130570.0,51706618950.0,KOSPI,11.66
081660,45150.0,125459.0,5664473850.0,KOSPI,-0.88
000240,24950.0,112707.0,2812039650.0,KOSPI,0.4
007340,40350.0,236942.0,9560609700.0,KOSPI,4.26
004370,383000.0,27520.0,10540160000.0,KOSPI,-1.03
278540,38070.0,88144.0,3355642080.0,KOSPI,21.63
161510,24610.0,1772695.0,43626023950.0,KOSPI,3.08
001720,140300.0,10679.0,1498263700.0,KOSPI,7.84
450080,32200.0,362465.0,11671373000.0,KOSPI,9.34
279570,5590.0,976008.0,5455884720.0,KOSPI,1.45
009420,43400.0,224666.0,9750504400.0,KOSPI,11.28
375500,58500.0,389278.0,22772763000.0,KOSPI,8.13
004990,22600.0,120177.0,2716000200.0,KOSPI,2.49
161890,95200.0,278439.0,26507392800.0,KOSPI,2.15
014680,208000.0,40286.0,8379488000.0,KOSPI,9.07
486290,10620.0,2099544.0,22297157280.0,KOSPI,3.26
139480,79800.0,124222.0,9912915600.0,KOSPI,2.57
030000,18930.0,479802.0,9082651860.0,KOSPI,-1.25
282330,125000.0,127636.0,15954500000.0,KOSPI,-1.11
005440,11780.0,225422.0,2655471160.0,KOSPI,4.25
456600,56995.0,615487.0,35079681565.0,KOSPI,8.24
489790,42000.0,561094.0,23565948000.0,KOSPI,20.0
0193W0,12615.0,43311891.0,546379504965.0,KOSPI,51.17
204320,44700.0,737489.0,32965758300.0,KOSPI,12.45
192820,184700.0,155770.0,28770719000.0,KOSPI,-0.65
284430,21300.0,1723015.0,36700219500.0,KOSPI,12.13
