Code,Name,Close,Volume,VolumeTotal,Amount,AmountTotal,Market,ChangesRatio
005930,삼성전자,257000.0,14698877.0,23596464.0,3777611389000.0,6064291248000.0,KOSPI,-3.38
000660,SK하이닉스,1653000.0,2796942.0,4544504.0,4623345126000.0,7512065112000.0,KOSPI,-4.45
005935,삼성전자우,186800.0,2895045.0,2895045.0,540794406000.0,540794406000.0,KOSPI,-3.86
402340,SK스퀘어,1028000.0,439255.0,599678.0,451554140000.0,616468984000.0,KOSPI,-3.75
009150,삼성전기,1421000.0,742701.0,1358991.0,1055378121000.0,1931126211000.0,KOSPI,2.6
373220,LG에너지솔루션,370000.0,237879.0,302951.0,88015230000.0,112091870000.0,KOSPI,-0.13
005380,현대차,399500.0,438365.0,809182.0,175126817500.0,323268209000.0,KOSPI,0.38
207940,삼성바이오로직스,1486000.0,107486.0,164641.0,159724196000.0,244656526000.0,KOSPI,-6.78
032830,삼성생명,310000.0,258815.0,321425.0,80232650000.0,99641750000.0,KOSPI,0.98
105560,KB금융,171600.0,822997.0,994091.0,141226285200.0,170586015600.0,KOSPI,2.08
028260,삼성물산,375000.0,227518.0,287920.0,85319250000.0,107970000000.0,KOSPI,-0.13
012450,한화에어로스페이스,1157000.0,116700.0,138342.0,135021900000.0,160061694000.0,KOSPI,0.61
034020,두산에너빌리티,88200.0,3489893.0,7132803.0,307808562600.0,629113224600.0,KOSPI,2.68
055550,신한지주,109700.0,728791.0,782865.0,79948372700.0,85880290500.0,KOSPI,0.83
000270,기아,128000.0,820385.0,998523.0,105009280000.0,127810944000.0,KOSPI,1.51
329180,HD현대중공업,457000.0,224543.0,302344.0,102616151000.0,138171208000.0,KOSPI,-2.77
006400,삼성SDI,571000.0,443235.0,855936.0,253087185000.0,488739456000.0,KOSPI,0.35
068270,셀트리온,190700.0,375920.0,511924.0,71687944000.0,97623906800.0,KOSPI,-0.31
012330,현대모비스,450500.0,327014.0,465209.0,147319807000.0,209576654500.0,KOSPI,-0.22
034730,SK,543000.0,126114.0,149889.0,68479902000.0,81389727000.0,KOSPI,-2.34
086790,하나금융지주,136000.0,467329.0,541495.0,63556744000.0,73643320000.0,KOSPI,1.8
035420,NAVER,220500.0,947514.0,1995645.0,208926837000.0,440039722500.0,KOSPI,1.85
066570,LG전자,201500.0,535676.0,926122.0,107938714000.0,186613583000.0,KOSPI,1.61
010120,LS ELECTRIC,214500.0,545317.0,1285763.0,116970496500.0,275796163500.0,KOSPI,-2.28
000810,삼성화재,687000.0,78689.0,88308.0,54059343000.0,60667596000.0,KOSPI,0.73
298040,효성중공업,3153000.0,62581.0,105407.0,197317893000.0,332348271000.0,KOSPI,2.4
267260,HD현대일렉트릭,814000.0,175929.0,264502.0,143206206000.0,215304628000.0,KOSPI,-0.85
010130,고려아연,1375000.0,21037.0,34735.0,28925875000.0,47760625000.0,KOSPI,0.22
042660,한화오션,88500.0,526642.0,954540.0,46607817000.0,84476790000.0,KOSPI,-1.23
005490,POSCO홀딩스,337500.0,174441.0,288369.0,58873837500.0,97324537500.0,KOSPI,-0.59
009540,HD한국조선해양,354500.0,146742.0,171677.0,52020039000.0,60859496500.0,KOSPI,-1.66
069500,KODEX 200,107180.0,20027200.0,20027200.0,2146515296000.0,2146515296000.0,KOSPI,-1.79
316140,우리금융지주,33900.0,1295034.0,1603537.0,43901652600.0,54359904300.0,KOSPI,2.88
017670,SK텔레콤,98600.0,1225347.0,2798682.0,120819214200.0,275950045200.0,KOSPI,-0.5
042700,한미반도체,219500.0,547047.0,796396.0,120076816500.0,174808922000.0,KOSPI,-1.13
015760,한국전력,32550.0,1995015.0,3427937.0,64937738250.0,111579349350.0,KOSPI,-4.12
011200,HMM,21700.0,697738.0,1171905.0,15140914600.0,25430338500.0,KOSPI,1.17
360750,TIGER 미국S&P500,26280.0,13122643.0,13122643.0,344863058040.0,344863058040.0,KOSPI,-0.32
138040,메리츠금융지주,122000.0,127176.0,207036.0,15515472000.0,25258392000.0,KOSPI,2.52
000150,두산,1238000.0,55393.0,77795.0,68576534000.0,96310210000.0,KOSPI,1.98
096770,SK이노베이션,116900.0,1262642.0,2011623.0,147602849800.0,235158728700.0,KOSPI,4.38
006800,미래에셋증권,36150.0,675780.0,1007171.0,24429447000.0,36409231650.0,KOSPI,0.14
051910,LG화학,277000.0,115282.0,150074.0,31933114000.0,41570498000.0,KOSPI,0.91
018260,삼성에스디에스,243000.0,274452.0,553216.0,66691836000.0,134431488000.0,KOSPI,3.85
010140,삼성중공업,21200.0,2029082.0,3641999.0,43016538400.0,77210378800.0,KOSPI,0.95
033780,KT&G,176300.0,126772.0,144773.0,22349903600.0,25523479900.0,KOSPI,1.03
003550,LG,116300.0,222018.0,247479.0,25820693400.0,28781807700.0,KOSPI,1.57
278470,에이피알,461500.0,351547.0,520173.0,162238940500.0,240059839500.0,KOSPI,6.21
267250,HD현대,218000.0,87891.0,103991.0,19160238000.0,22670038000.0,KOSPI,0.93
010950,S-Oil,149200.0,410755.0,620695.0,61284646000.0,92607694000.0,KOSPI,9.14
024110,기업은행,20850.0,870766.0,1143839.0,18155471100.0,23849043150.0,KOSPI,1.71
003670,포스코퓨처엠,186300.0,320655.0,472966.0,59738026500.0,88113565800.0,KOSPI,1.25
035720,카카오,36850.0,1479432.0,1479432.0,54517069200.0,54517069200.0,KOSPI,2.36
079550,LIG디펜스앤에어로스페이스,734000.0,48584.0,65104.0,35660656000.0,47786336000.0,KOSPI,-1.48
086280,현대글로비스,205000.0,144013.0,172204.0,29522665000.0,35301820000.0,KOSPI,0.74
064350,현대로템,139100.0,252365.0,294619.0,35103971500.0,40981502900.0,KOSPI,0.36
011070,LG이노텍,611000.0,179868.0,300046.0,109899348000.0,183328106000.0,KOSPI,2.35
000720,현대건설,128900.0,560482.0,884914.0,72246129800.0,114065414600.0,KOSPI,-0.31
272210,한화시스템,75800.0,207958.0,322037.0,15763216400.0,24410404600.0,KOSPI,-2.7
030200,KT,54500.0,193285.0,243435.0,10534032500.0,13267207500.0,KOSPI,1.11
047810,한국항공우주,133100.0,237790.0,313153.0,31649849000.0,41680664300.0,KOSPI,-3.27
005830,DB손해보험,187400.0,199691.0,217954.0,37422093400.0,40844579600.0,KOSPI,1.85
078930,GS,129200.0,530181.0,651587.0,68499385200.0,84185040400.0,KOSPI,4.87
003230,삼양식품,1547000.0,43148.0,62174.0,66749956000.0,96183178000.0,KOSPI,4.53
133690,TIGER 미국나스닥100,179490.0,1967111.0,1967111.0,353076753390.0,353076753390.0,KOSPI,-0.06
307950,현대오토에버,416000.0,55895.0,108597.0,23252320000.0,45176352000.0,KOSPI,0.6
071050,한국금융지주,191300.0,114414.0,135358.0,21887398200.0,25893985400.0,KOSPI,-0.05
003490,대한항공,28700.0,2729584.0,2729584.0,78339060800.0,78339060800.0,KOSPI,1.77
