Code,Name,Close,Volume,VolumeTotal,Amount,AmountTotal,Market,ChangesRatio
005930,삼성전자,247500.0,22683374.0,45367912.0,5614135065000.0,11228558220000.0,KOSPI,-7.82
000660,SK하이닉스,1500000.0,4206017.0,9952266.0,6309025500000.0,14928399000000.0,KOSPI,-9.75
005935,삼성전자우,173700.0,2968920.0,2968920.0,515701404000.0,515701404000.0,KOSPI,-7.75
402340,SK스퀘어,1004000.0,626319.0,1366621.0,628824276000.0,1372087484000.0,KOSPI,-11.54
009150,삼성전기,1387000.0,738198.0,1459516.0,1023880626000.0,2024348692000.0,KOSPI,-3.68
005380,현대차,414000.0,533273.0,957056.0,220775022000.0,396221184000.0,KOSPI,-4.83
373220,LG에너지솔루션,357500.0,270199.0,353092.0,96596142500.0,126230390000.0,KOSPI,1.85
207940,삼성바이오로직스,1544000.0,28415.0,37361.0,43872760000.0,57685384000.0,KOSPI,0.85
012450,한화에어로스페이스,1177000.0,407773.0,744509.0,479948821000.0,876287093000.0,KOSPI,2.71
105560,KB금융,166400.0,890638.0,1063015.0,148202163200.0,176885696000.0,KOSPI,-1.25
028260,삼성물산,347000.0,275062.0,363237.0,95446514000.0,126043239000.0,KOSPI,-5.96
032830,삼성생명,276000.0,464840.0,661249.0,128295840000.0,182504724000.0,KOSPI,-11.11
000270,기아,133000.0,628844.0,777456.0,83636252000.0,103401648000.0,KOSPI,-3.06
329180,HD현대중공업,474000.0,185540.0,253414.0,87945960000.0,120118236000.0,KOSPI,-3.17
055550,신한지주,105000.0,956462.0,1106236.0,100428510000.0,116154780000.0,KOSPI,-1.41
034020,두산에너빌리티,76200.0,1818090.0,3667980.0,138538458000.0,279500076000.0,KOSPI,-2.18
012330,현대모비스,509000.0,196100.0,317300.0,99814900000.0,161505700000.0,KOSPI,-1.74
068270,셀트리온,194100.0,372253.0,574702.0,72254307300.0,111549658200.0,KOSPI,-0.72
034730,SK,551000.0,106571.0,156201.0,58720621000.0,86066751000.0,KOSPI,-6.61
006400,삼성SDI,487000.0,394552.0,665393.0,192146824000.0,324046391000.0,KOSPI,-0.2
086790,하나금융지주,127500.0,681003.0,840924.0,86827882500.0,107217810000.0,KOSPI,-2.45
066570,LG전자,201500.0,858018.0,1754272.0,172890627000.0,353485808000.0,KOSPI,-3.12
035420,NAVER,208000.0,733375.0,1422404.0,152542000000.0,295860032000.0,KOSPI,-4.15
010120,LS ELECTRIC,202000.0,406266.0,868893.0,82065732000.0,175516386000.0,KOSPI,-3.35
000810,삼성화재,613000.0,83861.0,95310.0,51406793000.0,58425030000.0,KOSPI,-2.08
298040,효성중공업,2908000.0,31164.0,46960.0,90624912000.0,136559680000.0,KOSPI,-2.55
267260,HD현대일렉트릭,752000.0,98524.0,137113.0,74090048000.0,103108976000.0,KOSPI,-4.2
