Code,Name,Close,Volume,VolumeTotal,Amount,AmountTotal,Market,ChangesRatio
005930,삼성전자,253500.0,11438019.0,16386371.0,2899537816500.0,4153945048500.0,KOSPI,2.01
000660,SK하이닉스,1757000.0,2807337.0,4137767.0,4932491109000.0,7270056619000.0,KOSPI,3.96
005935,삼성전자우,194300.0,3635528.0,3635528.0,706383090400.0,706383090400.0,KOSPI,3.85
402340,SK스퀘어,1017000.0,338382.0,465386.0,344134494000.0,473297562000.0,KOSPI,1.7
009150,삼성전기,1372000.0,430275.0,651082.0,590337300000.0,893284504000.0,KOSPI,4.18
373220,LG에너지솔루션,366500.0,300276.0,377068.0,110051154000.0,138195422000.0,KOSPI,0.27
005380,현대차,362500.0,482107.0,743909.0,174763787500.0,269667012500.0,KOSPI,-1.23
207940,삼성바이오로직스,1405000.0,33593.0,37019.0,47198165000.0,52011695000.0,KOSPI,-0.5
105560,KB금융,177000.0,996955.0,1074900.0,176461035000.0,190257300000.0,KOSPI,0.68
028260,삼성물산,351500.0,235782.0,277816.0,82877373000.0,97652324000.0,KOSPI,1.3
032830,삼성생명,285000.0,262214.0,305666.0,74730990000.0,87114810000.0,KOSPI,-0.18
012450,한화에어로스페이스,1057000.0,98608.0,118674.0,104228656000.0,125438418000.0,KOSPI,-0.56
034020,두산에너빌리티,84100.0,2140785.0,4185160.0,180040018500.0,351971956000.0,KOSPI,-2.44
055550,신한지주,112600.0,783009.0,822107.0,88166813400.0,92569248200.0,KOSPI,0.36
000270,기아,120900.0,529548.0,608577.0,64022353200.0,73576959300.0,KOSPI,-0.74
329180,HD현대중공업,442500.0,153713.0,220548.0,68018002500.0,97592490000.0,KOSPI,-2.43
006400,삼성SDI,546000.0,303354.0,494033.0,165631284000.0,269742018000.0,KOSPI,-0.18
068270,셀트리온,177400.0,259646.0,360515.0,46061200400.0,63955361000.0,KOSPI,-0.06
034730,SK,552000.0,98258.0,119266.0,54238416000.0,65834832000.0,KOSPI,0.36
086790,하나금융지주,137200.0,570681.0,618456.0,78297433200.0,84852163200.0,KOSPI,-0.29
012330,현대모비스,383500.0,298400.0,453133.0,114436400000.0,173776505500.0,KOSPI,-2.79
066570,LG전자,199600.0,393254.0,608119.0,78493498400.0,121380552400.0,KOSPI,-1.19
035420,NAVER,202000.0,525238.0,841094.0,106098076000.0,169900988000.0,KOSPI,-1.94
010120,LS ELECTRIC,199000.0,410543.0,660250.0,81698057000.0,131389750000.0,KOSPI,2.21
000810,삼성화재,664000.0,61877.0,68267.0,41086328000.0,45329288000.0,KOSPI,0.45
316140,우리금융지주,36300.0,2194029.0,2498829.0,79643252700.0,90707492700.0,KOSPI,-0.14
298040,효성중공업,2797000.0,39435.0,62030.0,110299695000.0,173497910000.0,KOSPI,4.02
005490,POSCO홀딩스,327000.0,156849.0,216955.0,51289623000.0,70944285000.0,KOSPI,-1.51
267260,HD현대일렉트릭,709000.0,97381.0,125217.0,69043129000.0,88778853000.0,KOSPI,1.29
042660,한화오션,81900.0,481527.0,868314.0,39437061300.0,71114916600.0,KOSPI,-0.61
069500,KODEX 200,106365.0,21334746.0,21334746.0,2269270258290.0,2269270258290.0,KOSPI,2.0
010130,고려아연,1144000.0,11494.0,15413.0,13149136000.0,17632472000.0,KOSPI,0.53
009540,HD한국조선해양,333000.0,164057.0,183894.0,54630981000.0,61236702000.0,KOSPI,-1.77
096770,SK이노베이션,136900.0,512134.0,779395.0,70111144600.0,106699175500.0,KOSPI,-3.39
000150,두산,1384000.0,85434.0,116753.0,118240656000.0,161586152000.0,KOSPI,7.37
042700,한미반도체,226500.0,506977.0,837024.0,114830290500.0,189585936000.0,KOSPI,1.8
138040,메리츠금융지주,125800.0,188887.0,206056.0,23761984600.0,25921844800.0,KOSPI,-0.55
360750,TIGER 미국S&P500,25800.0,39362953.0,39362953.0,1015564187400.0,1015564187400.0,KOSPI,0.68
015760,한국전력,31050.0,1086522.0,1690273.0,33736508100.0,52482976650.0,KOSPI,-0.96
011200,HMM,20500.0,762719.0,1107860.0,15635739500.0,22711130000.0,KOSPI,-0.73
051910,LG화학,272000.0,170905.0,201487.0,46486160000.0,54804464000.0,KOSPI,0.18
017670,SK텔레콤,88300.0,593315.0,827951.0,52389714500.0,73108073300.0,KOSPI,0.34
010140,삼성중공업,20350.0,2332780.0,3978148.0,47472073000.0,80955311800.0,KOSPI,-1.69
033780,KT&G,171700.0,130637.0,140932.0,22430372900.0,24198024400.0,KOSPI,0.53
006800,미래에셋증권,31900.0,709218.0,1030319.0,22624054200.0,32867176100.0,KOSPI,-0.47
267250,HD현대,218500.0,145068.0,173119.0,31697358000.0,37826501500.0,KOSPI,-2.89
003550,LG,113100.0,321869.0,332165.0,36403383900.0,37567861500.0,KOSPI,-1.05
003670,포스코퓨처엠,188600.0,294190.0,401023.0,55484234000.0,75632937800.0,KOSPI,-0.37
018260,삼성에스디에스,216500.0,111234.0,166636.0,24082161000.0,36076694000.0,KOSPI,-1.81
024110,기업은행,20300.0,796414.0,1014727.0,16167204200.0,20598958100.0,KOSPI,-0.25
010950,S-Oil,143600.0,268448.0,366497.0,38549132800.0,52628969200.0,KOSPI,-3.43
086280,현대글로비스,201000.0,178769.0,208518.0,35932569000.0,41912118000.0,KOSPI,-1.71
035720,카카오,33650.0,1615415.0,1615415.0,54358714750.0,54358714750.0,KOSPI,-2.46
079550,LIG디펜스앤에어로스페이스,668000.0,37142.0,57085.0,24810856000.0,38132780000.0,KOSPI,-0.45
000720,현대건설,124000.0,463631.0,729816.0,57490244000.0,90497184000.0,KOSPI,-3.2
030200,KT,53000.0,99733.0,121153.0,5285849000.0,6421109000.0,KOSPI,0.0
278470,에이피알,350500.0,267003.0,371993.0,93584551500.0,130383546500.0,KOSPI,-3.04
064350,현대로템,119800.0,249985.0,361894.0,29948203000.0,43354901200.0,KOSPI,-1.32
272210,한화시스템,68900.0,254206.0,386865.0,17514793400.0,26654998500.0,KOSPI,-1.15
047810,한국항공우주,126000.0,220556.0,290694.0,27790056000.0,36627444000.0,KOSPI,-2.33
005830,DB손해보험,187000.0,151881.0,169195.0,28401747000.0,31639465000.0,KOSPI,-0.9
011070,LG이노텍,512000.0,86744.0,132940.0,44412928000.0,68065280000.0,KOSPI,1.19
133690,TIGER 미국나스닥100,175970.0,3019233.0,3019233.0,531294431010.0,531294431010.0,KOSPI,0.59
003490,대한항공,29250.0,1322448.0,1322448.0,38681604000.0,38681604000.0,KOSPI,-0.34
443060,HD현대마린솔루션,234500.0,95607.0,104886.0,22419841500.0,24595767000.0,KOSPI,1.08
071050,한국금융지주,187000.0,162039.0,186078.0,30301293000.0,34796586000.0,KOSPI,-2.2
078930,GS,111400.0,435642.0,494532.0,48530518800.0,55090864800.0,KOSPI,-3.21
379800,KODEX 미국S&P500,23455.0,34164620.0,34164620.0,801331162100.0,801331162100.0,KOSPI,0.69
307950,현대오토에버,364500.0,32890.0,52831.0,11988405000.0,19256899500.0,KOSPI,-1.49
323410,카카오뱅크,20950.0,600912.0,830546.0,12589106400.0,17399938700.0,KOSPI,-0.95
102110,TIGER 200,106600.0,11055463.0,11055463.0,1178512355800.0,1178512355800.0,KOSPI,1.86
028050,삼성E&A,50200.0,1057836.0,1057836.0,53103367200.0,53103367200.0,KOSPI,-1.18
047050,포스코인터내셔널,55100.0,710649.0,1164226.0,39156759900.0,64148852600.0,KOSPI,0.36
396500,TIGER 반도체TOP10,35900.0,6702974.0,6702974.0,240636766600.0,240636766600.0,KOSPI,3.67
003230,삼양식품,1264000.0,34197.0,44818.0,43225008000.0,56649952000.0,KOSPI,-1.02
006260,LS,303500.0,81492.0,132013.0,24732822000.0,40065945500.0,KOSPI,0.0
005940,NH투자증권,25550.0,266288.0,337415.0,6803658400.0,8620953250.0,KOSPI,-1.16
259960,크래프톤,204000.0,48627.0,64028.0,9919908000.0,13061712000.0,KOSPI,-3.09
180640,한진칼,137000.0,42188.0,50597.0,5779756000.0,6931789000.0,KOSPI,-0.8
379810,KODEX 미국나스닥100,26300.0,18423495.0,18423495.0,484537918500.0,484537918500.0,KOSPI,0.57
488770,KODEX 머니마켓액티브,105530.0,345085.0,345085.0,36416820050.0,36416820050.0,KOSPI,0.0
090430,아모레퍼시픽,144900.0,139961.0,167437.0,20280348900.0,24261621300.0,KOSPI,0.63
0126Z0,삼성에피스홀딩스,329500.0,23467.0,37633.0,7732376500.0,12400073500.0,KOSPI,-1.05
007660,이수페타시스,107500.0,202797.0,306693.0,21800677500.0,32969497500.0,KOSPI,2.77
047040,대우건설,18610.0,4066106.0,4066106.0,75670232660.0,75670232660.0,KOSPI,-2.72
016360,삼성증권,85600.0,175658.0,247145.0,15036324800.0,21155612000.0,KOSPI,-1.5
021240,코웨이,107600.0,235329.0,252659.0,25321400400.0,27186108400.0,KOSPI,6.01
278530,KODEX 200TR,38510.0,430858.0,430858.0,16592341580.0,16592341580.0,KOSPI,1.82
000500,가온전선,247000.0,239766.0,681281.0,59222202000.0,168276407000.0,KOSPI,2.92
352820,하이브,170200.0,118124.0,163134.0,20104704800.0,27765406800.0,KOSPI,-1.68
000880,한화,137500.0,90574.0,106708.0,12453925000.0,14672350000.0,KOSPI,0.29
161390,한국타이어앤테크놀로지,57900.0,230859.0,255465.0,13366736100.0,14791423500.0,KOSPI,-1.19
039490,키움증권,267500.0,38107.0,46777.0,10193622500.0,12512847500.0,KOSPI,-0.37
459580,KODEX CD금리액티브(합성),1074855.0,762324.0,762324.0,819387763020.0,819387763020.0,KOSPI,0.01
064400,LG씨엔에스,69900.0,362455.0,362455.0,25335604500.0,25335604500.0,KOSPI,-1.55
009830,한화솔루션,28650.0,909645.0,909645.0,26061329250.0,26061329250.0,KOSPI,0.35
128940,한미약품,501000.0,152533.0,232504.0,76419033000.0,116484504000.0,KOSPI,0.91
267270,HD건설기계,134000.0,147272.0,186388.0,19734448000.0,24975992000.0,KOSPI,-0.37
032640,LG유플러스,14690.0,777758.0,856971.0,11425265020.0,12588903990.0,KOSPI,-1.08
326030,SK바이오팜,79000.0,81532.0,124398.0,6441028000.0,9827442000.0,KOSPI,1.15
175330,JB금융지주,32950.0,588950.0,627391.0,19405902500.0,20672533450.0,KOSPI,2.33
005387,현대차2우B,172200.0,141542.0,141542.0,24373532400.0,24373532400.0,KOSPI,-0.86
062040,산일전기,195800.0,288382.0,519993.0,56465195600.0,101814629400.0,KOSPI,4.43
498400,KODEX 200타겟위클리커버드콜,19820.0,4881428.0,4881428.0,96749902960.0,96749902960.0,KOSPI,1.72
241560,두산밥캣,59900.0,79443.0,90877.0,4758635700.0,5443532300.0,KOSPI,-0.17
000100,유한양행,77800.0,152005.0,207064.0,11825989000.0,16109579200.0,KOSPI,-1.89
091160,KODEX 반도체,127700.0,2009642.0,2009642.0,256631283400.0,256631283400.0,KOSPI,4.08
001440,대한전선,28100.0,945716.0,945716.0,26574619600.0,26574619600.0,KOSPI,0.72
000990,DB하이텍,126200.0,945693.0,1687849.0,119346456600.0,213006543800.0,KOSPI,8.14
377300,카카오페이,40550.0,869108.0,1402591.0,35242329400.0,56875065050.0,KOSPI,-11.37
381180,TIGER 미국필라델피아반도체나스닥,40130.0,2228049.0,2228049.0,89411606370.0,89411606370.0,KOSPI,1.67
122630,KODEX 레버리지,103580.0,14070008.0,14070008.0,1457371428640.0,1457371428640.0,KOSPI,3.9
0167A0,SOL AI반도체TOP2플러스,17190.0,8383307.0,8383307.0,144109047330.0,144109047330.0,KOSPI,3.65
029780,삼성카드,44550.0,80082.0,110469.0,3567653100.0,4921393950.0,KOSPI,-1.55
052690,한전기술,134300.0,716349.0,1982953.0,96205670700.0,266310587900.0,KOSPI,-6.61
088350,한화생명,5870.0,1852916.0,1852916.0,10876616920.0,10876616920.0,KOSPI,-1.68
353200,대덕전자,100800.0,571799.0,571799.0,57637339200.0,57637339200.0,KOSPI,4.24
138930,BNK금융지주,16140.0,696950.0,755845.0,11248773000.0,12199338300.0,KOSPI,0.62
088980,맥쿼리인프라,9770.0,583328.0,583328.0,5699114560.0,5699114560.0,KOSPI,-0.1
004020,현대제철,34950.0,770298.0,1032914.0,26921915100.0,36100344300.0,KOSPI,-0.57
229200,KODEX 코스닥150,13775.0,28090230.0,28090230.0,386942918250.0,386942918250.0,KOSPI,0.66
066970,엘앤에프,112100.0,401471.0,619966.0,45004899100.0,69498188600.0,KOSPI,-2.27
051900,LG생활건강,300000.0,60801.0,67456.0,18240300000.0,20236800000.0,KOSPI,-0.66
