Code,Close,Volume,VolumeTotal,Amount,AmountTotal,Market,ChangesRatio
005930,231000.0,20424708.0,34013267.0,4718107548000.0,7857064677000.0,KOSPI,0.22
000660,1422000.0,4796937.0,8605755.0,6821244414000.0,12237383610000.0,KOSPI,-4.88
005935,170100.0,2760365.0,2760365.0,469538086500.0,469538086500.0,KOSPI,-1.16
402340,939000.0,646939.0,999471.0,607475721000.0,938503269000.0,KOSPI,-3.2
009150,1278000.0,894867.0,1652371.0,1143640026000.0,2111730138000.0,KOSPI,3.99
373220,360000.0,426444.0,577585.0,153519840000.0,207930600000.0,KOSPI,4.35
005380,395500.0,415672.0,664832.0,164398276000.0,262941056000.0,KOSPI,-1.13
207940,1556000.0,51786.0,69144.0,80579016000.0,107588064000.0,KOSPI,2.77
105560,175800.0,802418.0,936150.0,141065084400.0,164575170000.0,KOSPI,2.51
012450,1097000.0,146033.0,191187.0,160198201000.0,209732139000.0,KOSPI,4.08
032830,275500.0,394855.0,481611.0,108782552500.0,132683830500.0,KOSPI,-4.17
028260,336500.0,268394.0,352503.0,90314581000.0,118617259500.0,KOSPI,0.75
329180,506000.0,151426.0,194473.0,76621556000.0,98403338000.0,KOSPI,-0.2
000270,134900.0,721730.0,840495.0,97361377000.0,113382775500.0,KOSPI,0.97
055550,110000.0,1389243.0,1486905.0,152816730000.0,163559550000.0,KOSPI,2.42
034020,77100.0,1606838.0,3011915.0,123887209800.0,232218646500.0,KOSPI,0.92
068270,199300.0,752482.0,1067910.0,149969662600.0,212834463000.0,KOSPI,2.21
012330,496500.0,198850.0,292152.0,98729025000.0,145053468000.0,KOSPI,-2.26
006400,459000.0,689025.0,1157396.0,316262475000.0,531244764000.0,KOSPI,7.49
086790,134700.0,578150.0,668305.0,77876805000.0,90020683500.0,KOSPI,1.05
034730,508000.0,129224.0,161814.0,65645792000.0,82201512000.0,KOSPI,-0.2
035420,210000.0,1755934.0,3524539.0,368746140000.0,740153190000.0,KOSPI,-7.08
010120,201000.0,696613.0,1173147.0,140019213000.0,235802547000.0,KOSPI,-0.74
066570,185000.0,1455361.0,3342007.0,269241785000.0,618271295000.0,KOSPI,5.59
000810,645000.0,89637.0,96374.0,57815865000.0,62161230000.0,KOSPI,-0.46
009540,398500.0,100744.0,121699.0,40146484000.0,48497051500.0,KOSPI,-0.37
267260,762000.0,148426.0,182985.0,113100612000.0,139434570000.0,KOSPI,0.13
042660,89400.0,693393.0,1342240.0,61989334200.0,119996256000.0,KOSPI,-1.43
298040,2832000.0,54247.0,86242.0,153627504000.0,244237344000.0,KOSPI,4.58
005490,331000.0,322295.0,557729.0,106679645000.0,184608299000.0,KOSPI,3.76
316140,34800.0,2382227.0,2988035.0,82901499600.0,103983618000.0,KOSPI,3.88
010130,1106000.0,34382.0,57965.0,38026492000.0,64109290000.0,KOSPI,-10.37
015760,35600.0,864179.0,1283439.0,30764772400.0,45690428400.0,KOSPI,-0.97
069500,98090.0,12477940.0,12477940.0,1223961134600.0,1223961134600.0,KOSPI,-0.82
138040,126300.0,228293.0,256603.0,28833405900.0,32408958900.0,KOSPI,0.48
011200,21800.0,1278741.0,2198540.0,27876553800.0,47928172000.0,KOSPI,1.87
360750,27075.0,33430680.0,33430680.0,905135661000.0,905135661000.0,KOSPI,-0.73
096770,120300.0,1271355.0,2134052.0,152944006500.0,256726455600.0,KOSPI,10.77
033780,188800.0,342514.0,421448.0,64666643200.0,79569382400.0,KOSPI,3.34
051910,276000.0,201027.0,271246.0,55483452000.0,74863896000.0,KOSPI,5.75
010140,22050.0,2375368.0,3962223.0,52376864400.0,87367017150.0,KOSPI,-0.23
000150,1191000.0,43867.0,57879.0,52245597000.0,68933889000.0,KOSPI,0.25
006800,33900.0,1280355.0,1927973.0,43404034500.0,65358284700.0,KOSPI,-1.88
017670,88200.0,1093860.0,1723086.0,96478452000.0,151976185200.0,KOSPI,-3.18
042700,192300.0,732793.0,1166197.0,140916093900.0,224259683100.0,KOSPI,-4.09
267250,225000.0,122859.0,144857.0,27643275000.0,32592825000.0,KOSPI,2.74
035720,39900.0,3958931.0,3958931.0,157961346900.0,157961346900.0,KOSPI,4.18
018260,221500.0,353650.0,554581.0,78333475000.0,122839691500.0,KOSPI,-4.73
024110,20750.0,775345.0,1137130.0,16088408750.0,23595447500.0,KOSPI,1.97
003550,108100.0,219938.0,282035.0,23775297800.0,30487983500.0,KOSPI,3.44
079550,741000.0,132347.0,212990.0,98069127000.0,157825590000.0,KOSPI,5.56
