Code,Close,Volume,VolumeTotal,Amount,AmountTotal,Market,ChangesRatio
005930,246000.0,22444447.0,43225082.0,5521333962000.0,10633370172000.0,KOSPI,2.5
000660,1668000.0,3740705.0,7742531.0,6239495940000.0,12914541708000.0,KOSPI,5.77
402340,1119000.0,674028.0,1079624.0,754237332000.0,1208099256000.0,KOSPI,5.57
005935,183900.0,2229739.0,2229739.0,410049002100.0,410049002100.0,KOSPI,4.25
009150,1356000.0,1023094.0,2133007.0,1387315464000.0,2892357492000.0,KOSPI,14.43
005380,404500.0,545657.0,996520.0,220718256500.0,403092340000.0,KOSPI,3.06
373220,335500.0,286160.0,398533.0,96006680000.0,133707821500.0,KOSPI,2.13
207940,1491000.0,51158.0,68404.0,76276578000.0,101990364000.0,KOSPI,1.02
105560,170700.0,834785.0,1051748.0,142497799500.0,179533383600.0,KOSPI,1.13
032830,294000.0,633509.0,779877.0,186251646000.0,229283838000.0,KOSPI,5.76
028260,347500.0,339053.0,520402.0,117820917500.0,180839695000.0,KOSPI,7.75
329180,509000.0,261380.0,331834.0,133042420000.0,168903506000.0,KOSPI,5.38
000270,133000.0,850555.0,1096174.0,113123815000.0,145791142000.0,KOSPI,2.62
012450,1007000.0,92287.0,118967.0,92933009000.0,119799769000.0,KOSPI,0.3
034020,77000.0,2227898.0,4837537.0,171548146000.0,372490349000.0,KOSPI,5.48
055550,103600.0,850493.0,989514.0,88111074800.0,102513650400.0,KOSPI,1.27
012330,503000.0,270626.0,443749.0,136124878000.0,223205747000.0,KOSPI,4.47
068270,190300.0,613531.0,946317.0,116754949300.0,180084125100.0,KOSPI,2.42
034730,562000.0,191224.0,258813.0,107467888000.0,145452906000.0,KOSPI,8.49
035420,229000.0,1086692.0,2673620.0,248852468000.0,612258980000.0,KOSPI,1.1
086790,128600.0,560663.0,648499.0,72101261800.0,83396971400.0,KOSPI,0.78
006400,429000.0,301925.0,511154.0,129525825000.0,219285066000.0,KOSPI,2.26
010120,212000.0,652833.0,1505559.0,138400596000.0,319178508000.0,KOSPI,7.61
066570,179500.0,1343478.0,2691087.0,241154301000.0,483050116500.0,KOSPI,8.46
000810,637000.0,48484.0,55441.0,30884308000.0,35315917000.0,KOSPI,2.74
042660,91900.0,1126310.0,2530044.0,103507889000.0,232511043600.0,KOSPI,5.03
009540,396000.0,183602.0,234670.0,72706392000.0,92929320000.0,KOSPI,5.88
298040,2985000.0,60133.0,101107.0,179497005000.0,301804395000.0,KOSPI,12.43
