Code,Close,Volume,VolumeTotal,Amount,AmountTotal,Market,ChangesRatio
005930,230500.0,26095404.0,41324505.0,6014990622000.0,9525298402500.0,KOSPI,-6.3
000660,1495000.0,5295745.0,8449743.0,7917138775000.0,12632365785000.0,KOSPI,-10.37
005935,172100.0,3325061.0,3325061.0,572242998100.0,572242998100.0,KOSPI,-6.42
402340,970000.0,808124.0,1152306.0,783880280000.0,1117736820000.0,KOSPI,-13.32
009150,1229000.0,971841.0,1667270.0,1194392589000.0,2049074830000.0,KOSPI,-9.37
005380,400000.0,527513.0,873262.0,211005200000.0,349304800000.0,KOSPI,-1.11
373220,345000.0,212231.0,305651.0,73219695000.0,105449595000.0,KOSPI,2.83
207940,1514000.0,48730.0,62329.0,73777220000.0,94366106000.0,KOSPI,1.54
105560,171500.0,729378.0,838724.0,125088327000.0,143841166000.0,KOSPI,0.47
032830,287500.0,242933.0,304189.0,69843237500.0,87454337500.0,KOSPI,-2.21
012450,1054000.0,163552.0,214277.0,172383808000.0,225847958000.0,KOSPI,4.67
028260,334000.0,319718.0,412204.0,106785812000.0,137676136000.0,KOSPI,-3.88
329180,507000.0,147612.0,188071.0,74839284000.0,95351997000.0,KOSPI,-0.39
000270,133600.0,796639.0,937338.0,106430970400.0,125228356800.0,KOSPI,0.45
055550,107400.0,1006945.0,1100528.0,108145893000.0,118196707200.0,KOSPI,3.67
034020,76400.0,1933602.0,3579861.0,147727192800.0,273501380400.0,KOSPI,-0.78
012330,508000.0,245294.0,380529.0,124609352000.0,193308732000.0,KOSPI,0.99
068270,195000.0,801664.0,1245286.0,156324480000.0,242830770000.0,KOSPI,2.47
034730,509000.0,159117.0,200851.0,80990553000.0,102233159000.0,KOSPI,-9.43
086790,133300.0,592164.0,690073.0,78935461200.0,91986730900.0,KOSPI,3.65
035420,226000.0,952557.0,1738731.0,215277882000.0,392953206000.0,KOSPI,-1.31
006400,427000.0,346534.0,591644.0,147970018000.0,252631988000.0,KOSPI,-0.47
010120,202500.0,629554.0,1145017.0,127484685000.0,231865942500.0,KOSPI,-4.48
000810,648000.0,75145.0,80154.0,48693960000.0,51939792000.0,KOSPI,1.73
066570,175200.0,870252.0,1433390.0,152468150400.0,251129928000.0,KOSPI,-2.4
009540,400000.0,95510.0,121135.0,38204000000.0,48454000000.0,KOSPI,1.01
042660,90700.0,899618.0,1715902.0,81595352600.0,155632311400.0,KOSPI,-1.31
267260,761000.0,136091.0,170301.0,103565251000.0,129599061000.0,KOSPI,-1.42
010130,1234000.0,85088.0,138772.0,104998592000.0,171244648000.0,KOSPI,12.69
005490,319000.0,249364.0,431893.0,79547116000.0,137773867000.0,KOSPI,0.63
298040,2708000.0,78194.0,111595.0,211749352000.0,302199260000.0,KOSPI,-9.28
316140,33500.0,1945631.0,2274538.0,65178638500.0,76197023000.0,KOSPI,0.45
015760,35950.0,939654.0,1413582.0,33780561300.0,50818272900.0,KOSPI,0.7
069500,98900.0,12594017.0,12594017.0,1245548281300.0,1245548281300.0,KOSPI,-5.18
138040,125700.0,302386.0,365300.0,38009920200.0,45918210000.0,KOSPI,4.4
360750,27275.0,18573623.0,18573623.0,506595567325.0,506595567325.0,KOSPI,-0.47
011200,21400.0,818674.0,1342991.0,17519623600.0,28740007400.0,KOSPI,1.42
017670,91100.0,1413477.0,1988067.0,128767754700.0,181112903700.0,KOSPI,-2.04
010140,22100.0,2040531.0,3527721.0,45095735100.0,77962634100.0,KOSPI,-0.45
006800,34550.0,1917548.0,2581968.0,66251283400.0,89206994400.0,KOSPI,-1.85
000150,1188000.0,50720.0,68220.0,60255360000.0,81045360000.0,KOSPI,-5.71
042700,200500.0,449146.0,781085.0,90053773000.0,156607542500.0,KOSPI,-4.07
033780,182700.0,292216.0,349306.0,53387863200.0,63818206200.0,KOSPI,3.81
051910,261000.0,156675.0,205485.0,40892175000.0,53631585000.0,KOSPI,2.15
096770,108600.0,486638.0,727925.0,52848886800.0,79052655000.0,KOSPI,-0.55
018260,232500.0,360459.0,594538.0,83806717500.0,138230085000.0,KOSPI,0.87
267250,219000.0,97510.0,118578.0,21354690000.0,25968582000.0,KOSPI,0.0
035720,38300.0,2359021.0,2359021.0,90350504300.0,90350504300.0,KOSPI,0.39
024110,20350.0,627659.0,845038.0,12772860650.0,17196523300.0,KOSPI,0.74
003550,104500.0,167911.0,202400.0,17546699500.0,21150800000.0,KOSPI,-2.15
064350,144200.0,365964.0,447060.0,52772008800.0,64466052000.0,KOSPI,-2.37
086280,207500.0,136974.0,166336.0,28422105000.0,34514720000.0,KOSPI,0.97
079550,702000.0,354527.0,531581.0,248877954000.0,373169862000.0,KOSPI,-12.03
